;milk;ubisi;;;;
;minute (n.);umzuzu;;;;
;mirror (n.);isipili;;;;
;misfortune;ilishwa;;;;
;Miss;uNkosazana;;;;
;mist;inkungu;;;;
;mistake;impazamo;;;;
;by mistake;ngepazamo;;;;
;mistaken;phazama;;;;
;moment;umzuzwana;;;;
;money;imali;;;;
;monkey;inkawu;;;;
month;moon;inyanga;;;;
;more than;ngaphezu kwa-;;;;
;morning;intsasa;;;;
;in the morning;kusasa;;;;
;mosquito;ingcongconi;;;;
;mother;umama;;;;
;motor-bike;isithuthuthu;;;;
;mountain;intaba;;;;
;mouse;impuku;;;;
;mouth;umlomo;;;;
;move (v.);-shukumisa;;;;
;move (away);-shenxisa;;;;
;Mr;uMnumzana;;;;
;Mrs;uNkosikazi;;;;
;much;kakhulu;;;;
;mugger;umphangi;;;;
;music;umculo;;;;
;must;kufuneka;;;;
;mutton;inyama yegusha;;;;
;name (n.);igama;;;;
;narrow;-mxinwa;;;;
;nation;isizwe;;;;
;nature;indalo;;;;
;near;-futshane;;;;
;nearly;-phantse;;;;
;necessary;-funeka;;;;
;neck;intamo;;;;
;need (v.);-funa;;;;
;needle;inaliti;;;;
;neighbour;ummelwane;;;;
;nervous;-nexhala;;;;
;never mind!;ungakhatazeki;;;;
;new;-tsha;;;;
;news;iindaba;;;;
;newspaper;iphephandaba;;;;
;next;-zayo;;;;
;next to;ecaleni kwa-;;;;
;night;ubusuku;;;;
;at night;ebusuku;;;;
;last night;phezolo;;;;
;nine;ithoba;;;;
;no!;hayi;;;;
;noise;ingxolo;;;;
;normally;ngokuqhelekileyo;;;;
;north;umntla;;;;
;in the north;entla;;;;
;nose;impumlo;;;;
;note well!;qhaphela!;;;;
;nowhere;naphina;;;;
;number (n.);inombolo;;;;
;nurse (n.);umongi/ umongikazi;inesi;;;
;obtainable;fumaneka;;;;
;ocean;ulwandlekazi;;;;
;odour (pleasant);ivumba;;;;
;office;i-ofisi;;;;
;often;futhi;kaninzi;;;
;how often?;kangaphi na?;;;;
;oil (for cars/machines);i-oyili;;;;
;okay;kulungile;;;;
;old;-dala;;;;
;how old are you?;mingaphi iminyaka yakho;;;;
;once;kanye;;;;
;one;-nye;;;;
;onion;itswele;;;;
;only;khupela;qha;nje;;
;opinion;uluvo;;;;
;or;okanye;;;;
;orange;i-orenji;;;;
;order (v.);-odola;;;;
;order (n.);i-odolo;;;;
;organisation;umbutho;;;;
;ostrich;inciniba;;;;
;other;-nya;;;;
;outside;ngaphandle;;;;
;oven;i-onti;;;;
;overcast;sibekhele;;;;
;overcast, become;sibekhela;;;;
;overseas;phesheya;;;;
;owner;umnini;;;;
;packet;ipakethi;;;;
;pain (emotional);intlungu;;;;
;pains (physical);iintlungu;;;;
;pan;ipani;;;;
;pants;ibhulukhwe;;;;
;paper;iphepha;;;;
;paraffin;iparafini;;;;
;parcel;ipasili;;;;
;pardon me!;uxolo!;;;;
;parent(s);abazali;;;;
;park (car);-paka;;;;
;pass (by)(v.);-dlula;;;;
;passable;-hambeka;;;;
;pay (v.);-hlawula;;;;
;payment;intlawulo;;;;
;peace;uxolo;;;;
;pen;usiba;;;;
;pencil;ipensile;;;;
;pension;umhlalaphantsi;inkamkam;;;
;pensioner;umdlimhlalaphantsi;;;;
;people;abantu;;;;
;pepper;ipepile;;;;
;perhaps;ingaba;mhlawumbi;;;
;permission;imvume;;;;
;person;umntu;;;;
;petrol;ipetroli;;;;
;pharmacy;ikemesti;;;;
;phone;ifoni;ifowuni;umnxeba;;
;picture;umfanekiso;;;;
;pig;ihagu;;;;
;pillow;umqamelo;;;;
;place (n.);indawo;;;;
;plant;isitylo;;;;
;plastic;iplastiki;;;;
;plate;isitya;;;;
;pleasant;-mnandi;;;;
;please!;nceda!;;;;
;pleased;-vuya;;;;
;poison;ityhefu;;;;
;poisoness;-netyhefu;;;;
;policeman/-woman;ipolisa;;;;
;police station;isikhululo samapolisa;;;;
;popular;thandwa;;;;
;pork;inyama yehagu;;;;
;post office;iposi;;;;
;pot;imbiza;;;;
;potato;itapile;;;;
pour out;pour in;galela;;;;
;pregnant;-nzima;;;;
;prepare (for);lungisela;;;;
;present (adj.);,-kho(na);;;;
;president;umongameli;;;;
;price;ixabiso;;;;
;priest;umfundisi;;;;
;problem;ingxaki;;;;
;promise (v.);-thembisa;;;;
;promise (n.);ithemba;idinga;;;
;protected;khuselekile;;;;
;province;iphondo;;;;
;public;-kawonke-wonke;;;;
